v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
13,"Navigate to Settings",,"Usre is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""From main menu, tap \""Settings\""""
2. ""Observe navigation""
","1. ""Menu option is tapped""
2. ""User is navigated to Settings Screen""
","1. """"
2. """"
",,,3,,Navigation,,,no
14,"Access notificatins from Menu",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""From main menu, tap notification icon""
2. ""Observe navigation""
","1. ""Notification icon is tapped""
2. ""User is navigated to Chat\/Notifications Screen""
","1. """"
2. """"
",,,3,,Navigation,,,no
15,"Access about screen",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""From main menu, tap info icon""
2. ""Observe navigation""
","1. ""Info icon is tapped""
2. ""User is navigated to About Screen""
","1. """"
2. """"
",,,3,,Navigation,,,no
17,"Order Creation Flow",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select location using \""Current Location\"" button""
3. ""Enter apartment number""
4. ""Enter floor number""
5. ""Enter entrance number""
6. ""Select trash type from dropdown""
7. ""Select package quantity""
8. ""Select pickup date""
9. ""Select pickup time""
10. ""Enter additional notes""
11. ""Tap \""Schedule Pickup\"" button""
","1. ""Order creation form is displayed""
2. ""Current location is detected and displayed""
3. ""Apartment number is entered""
4. ""Floor number is entered""
5. ""Entrance number is entered""
6. ""Trash type is selected""
7. ""Quantity is selected""
8. ""Date is selected""
9. ""Time is selected""
10. ""Notes are entered""
11. ""Order is created successfully and user returns to main menu""
","1. """"
2. """"
3. """"
4. """"
5. """"
6. """"
7. """"
8. """"
9. """"
10. """"
11. """"
",,,4,,"Order Creation",,,no
18,"Order Creation with Missiing Location",,"User is logged in",,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Fill all fields except location""
3. ""Tap \""Schedule Pickup\"" button""
","1. ""Order creation form is displayed""
2. ""All other fields are completed""
3. ""Validation error \""Please fill all required fields\"" is displayed""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
19,"Order Creation with Missiing Date",,"User is logged in",,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select Location""
3. ""Fill all fields except Pickup Date""
4. ""Tap \""Schedule Pickup\"" button""
","1. ""Order creation form is displayed""
2. ""Location is selected""
3. ""All other fields are completed""
4. ""Validation error \""Please fill all required fields\"" is displayed""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
20,"Order Creation with Missing Time",,"User is logged in",,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select Location and Date""
3. ""Fill all fields except Pickup Time""
4. ""Tap \""Schedule Pickup\"" button""
","1. ""Order creation form is displayed""
2. ""Location and Date are selected""
3. ""All other fields are completed""
4. ""Validation error \""Please fill all required fields\"" is displayed""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
21,"Order Creation with trash type",,"User is logged in",,,undefined,normal,other,negative,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select location, date, and time""
3. ""Fill all fields except Pickup Date""
4. ""Tap \""Schedule Pickup\"" button""
","1. ""Order creation form is displayed""
2. ""Location, date, and time are selected""
3. ""All other fields are completed""
4. ""Validation error is displayed and trash type field is highlighted""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
22,"Location selection via map",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Tap \""Select on Map\"" button""
3. ""Select location on map""
4. ""Confirm selection""
","1. ""Order creation form is displayed""
2. ""Map screen is opened""
3. ""Location is selected on map""
4. ""Selected location is displayed with address""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
23,"Current location selection",,"User is logged in, location services enabled",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Tap \""Current Location\"" button""
3. ""Grant location permission if prompted""
4. ""Observe location detection""
","1. ""Order creation form is displayed""
2. ""Location permission request appears""
3. ""Permission is granted""
4. ""Current location is detected and displayed""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
24,"Location services denied",,"User is logged in,",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Tap \""Current Location\"" button""
3. ""Deny location permission""
4. ""Observe error message""
","1. ""Order creation form is displayed""
2. ""Location permission request appears""
3. ""Permission is denied""
4. ""Error message about location permission is displayed""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
25,"Location outside service area",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select location outside Namangan\/Tashkent""
3. ""Try to save location""
","1. ""Order creation form is displayed""
2. ""Location outside service area is selected""
3. ""Error message \""Location is outside service area\"" is displayed""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
26,"Date Selection - Past Date",,"USre is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Tap on date picker""
3. ""Try to select a past date""
4. ""Verify selection""
","1. ""Order creation form is displayed""
2. ""Date picker is opened""
3. ""Past dates are disabled""
4. ""Past dates cannot be selected""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
27,"Date selection - Future date limit",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Tap on date picker""
3. ""Try to select date beyond 30 days from today""
4. ""Verify selection""
","1. ""Order creation form is displayed""
2. ""Date picker is opened""
3. ""Dates beyond 30 days are disabled""
4. ""Future dates beyond limit cannot be selected""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
28,"Time slot availablity - Today",,"User is logged in, today selected",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select today's date""
3. ""Open time picker""
4. ""Observe available time slots""
","1. ""Order creation form is displayed""
2. ""Today's date is selected""
3. ""Time picker is opened""
4. ""Past time slots and slots within 30 minutes are disabled""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
29,"Time slot availablity - Future date",,"User is logged in, future date is selected",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select a future date""
3. ""Open time picker""
4. ""Observe available time slots""
","1. ""Order creation form is displayed""
2. ""Future date is selected""
3. ""Time picker is opened""
4. ""All time slots are available""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
30,"Trash type Selection - household",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select \""Household\"" trash type""
3. ""Observe price calculation""
","1. ""Order creation form is displayed""
2. ""Household trash type is selected""
3. ""Price is calculated at 20,000 UZS for first pack + 10,000 UZS for additional packs""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
31,"Trash type selection - non-residential",,"USer is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select \""Non-residential\"" trash type""
3. ""Observe price calculation""
","1. ""Order creation form is displayed""
2. ""Non-residential trash type is selected""
3. ""Price is calculated at 30,000 UZS for first pack + 15,000 UZS for additional packs""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
32,"Trash type selection - Construction",,"USer is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select \""Construction debris\"" trash type""
3. ""Observe price calculation and UI""
","1. ""Order creation form is displayed""
2. ""Construction trash type is selected""
3. ""Fixed price of 250,000 UZS is displayed, quantity selector is disabled""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
33,"PAckage Quantity Adjustment",,"User is logged in, non-construction type selected",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select trash type (not construction)""
3. ""Increase package quantity""
4. ""Observe price update""
","1. ""Order creation form is displayed""
2. ""Non-construction trash type is selected""
3. ""Quantity is increased""
4. ""Total price updates correctly based on quantity""
","1. """"
2. """"
3. """"
4. """"
",,,4,,"Order Creation",,,no
34,"Price Display Validation",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Select different trash types and quantities""
3. ""Verify price display""
","1. ""Order creation form is displayed""
2. ""Various combinations are selected""
3. ""Price is displayed with proper formatting and UZS currency""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
35,"Building Details Input",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Enter apartment, floor, and entrance numbers""
3. ""Verify input validation""
","1. ""Order creation form is displayed""
2. ""Numeric values are entered""
3. ""Numeric input is accepted and properly formatted""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
36,"Additional Notes Input",,"User is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Enter text in additional notes field""
3. ""Verify character limits""
","1. ""Order creation form is displayed""
2. ""Text is entered""
3. ""Notes are accepted and saved with the order""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
37,"Order creation Network Error",,"USer is logged in, No internet connection",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to order creation screen""
2. ""Fill all required fields""
3. ""Tap \""Schedule Pickup\"" button""
","1. ""Order creation form is displayed""
2. ""All fields are completed""
3. ""Network error message is displayed""
","1. """"
2. """"
3. """"
",,,4,,"Order Creation",,,no
38,"Courier Dashboard daily",,"User is logged in as a courier",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Courier user logs in""
2. ""Navigate to courier dashboard""
3. ""Observe dashboard components""
","1. ""User is authenticated""
2. ""Dashboard is displayed""
3. ""Dashboard displays statistics, pending orders, and completed orders tabs""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
39,Statistics,,"Courier user logged in, orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Observe statistics section""
3. ""Verify statistics data""
","1. ""Dashboard is displayed""
2. ""Statistics section is visible""
3. ""Pending pickups, completed today, and earnings are displayed""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
40,"Pending Orders List",,"Courier user logged in, pending orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Select \""Pending Orders\"" tab""
3. ""Observe orders list""
","1. ""Dashboard is displayed""
2. ""Pending orders tab is selected""
3. ""List of pending orders with order details is displayed""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
41,"Completed Orders List",,"Courier user logged in, completed orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Select \""Completed Orders\"" tab""
3. ""Observe orders list""
","1. ""Dashboard is displayed""
2. ""Completed orders tab is selected""
3. ""List of completed orders with completion status is displayed""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
42,"Order Details navigation",,"Courier user logged in, orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Tap on any order in the list""
3. ""Observe navigation""
","1. ""Dashboard is displayed""
2. ""Order is tapped""
3. ""Order details screen is displayed with full order information""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
43,"City Filter - Namangan Only",,"Courier user logged in, orders in both cities",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Tap filter icon""
3. ""Disable Tashkent, enable Namangan""
4. ""Observe filtered results""
","1. ""Dashboard is displayed""
2. ""Filter menu is opened""
3. ""Namangan filter is enabled""
4. ""Only orders from Namangan are displayed""
","1. """"
2. """"
3. """"
4. """"
",,,6,,"Courier Dashboard",,,no
44,"City Filter - Tashkent Only",,"Courier user logged in, orders in both cities",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Tap filter icon""
3. ""Disable Namangan, enable Tashkent""
4. ""Observe filtered results""
","1. ""Dashboard is displayed""
2. ""Filter menu is opened""
3. ""Tashkent filter is enabled""
4. ""Only orders from Tashkent are displayed3""
","1. """"
2. """"
3. """"
4. """"
",,,6,,"Courier Dashboard",,,no
45,"City Filter - Both Cities",,"Courier user logged in, orders in both cities",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Tap filter icon""
3. ""Enable both Namangan and Tashkent""
4. ""Observe filtered results""
","1. ""Dashboard is displayed""
2. ""Filter menu is opened""
3. ""Both city filters are enabled""
4. ""Orders from both cities are displayed""
","1. """"
2. """"
3. """"
4. """"
",,,6,,"Courier Dashboard",,,no
46,"Order Selection Mode",,"Courier user logged in, pending orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Long press on a pending order""
3. ""Observe selection mode""
","1. ""Dashboard is displayed""
2. ""Long press gesture is performed""
3. ""Selection mode is activated with checkbox appearing""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
47,"Multiple Order Selection",,"Courier user logged in, multiple pending orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Enter selection mode""
2. ""Tap on multiple orders to select them""
3. ""Observe selection count""
","1. ""Selection mode is activated""
2. ""Multiple orders are tapped""
3. ""Multiple orders are selected and count is updated""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
48,"Select All Orders",,"Courier user logged in, multiple pending orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Enter selection mode""
2. ""Tap \""Select All\"" button""
3. ""Observe selection""
","1. ""Selection mode is activated""
2. ""Select all button is tapped""
3. ""All visible orders are selected""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
49,"Batch Order Creation",,"Courier user logged in, orders selected",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Select multiple pending orders""
2. ""Tap complete button""
3. ""Confirm completion""
4. ""Verify completion""
","1. ""Orders are selected""
2. ""Complete button is tapped""
3. ""Confirmation dialog appears""
4. ""Selected orders are marked as completed""
","1. """"
2. """"
3. """"
4. """"
",,,6,,"Courier Dashboard",,,no
50,"Route Optimization",,"Courier user logged in, pending orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Tap route optimization button""
3. ""Wait for optimization to complete""
4. ""Observe optimized route""
","1. ""Dashboard is displayed""
2. ""Route optimization is initiated""
3. ""Loading indicator appears""
4. ""Optimized route is displayed with summary statistics""
","1. """"
2. """"
3. """"
4. """"
",,,6,,"Courier Dashboard",,,no
51,"Navigate To Courier Map",,"Courier is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Tap map icon""
3. ""Observe navigation""
","1. ""Dashboard is displayed""
2. ""Map icon is tapped""
3. ""Courier map screen is displayed with order locations""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
52,"Dashboard Refresh",,"Courier is logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Pull down to refresh""
3. ""Observe data update""
","1. ""Dashboard is displayed""
2. ""Refresh gesture is performed""
3. ""Dashboard data is refreshed and updated""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
53,"Empty State - No pending Orders",,"Courier is logged in, no pending orders",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Select \""Pending Orders\"" tab""
3. ""Observe empty state""
","1. ""Dashboard is displayed""
2. ""Pending orders tab is selected""
3. ""\""No pending orders\"" message is displayed""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
54,"Empty State - No Completed Orders",,"Courier is logged in, no completed orders",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Select \""Completed Orders\"" tab""
3. ""Observe empty state""
","1. ""Dashboard is displayed""
2. ""Completed orders tab is selected""
3. ""\""No completed orders\"" message is displayed""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
55,"Order Status badge display",,"Courier is logged in, orders exist",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to courier dashboard""
2. ""Observe order cards""
3. ""Verify status badges""
","1. ""Dashboard is displayed""
2. ""Order cards are displayed""
3. ""Pending orders show orange \""Pending\"" badge, completed orders show green \""Completed\"" badge""
","1. """"
2. """"
3. """"
",,,6,,"Courier Dashboard",,,no
56,"NEw Order notification to couriers",,"courier is logged in, FCM token registered",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Regular user creates a new order""
2. ""Observe courier's device""
3. ""Verify notification content""
","1. ""Order is created in system""
2. ""Notification appears on courier's device""
3. ""Courier receives notification about new order with proper navigation""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
57,"Orer completion notification to customer",,"customer is logged in, FCM token registered",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Courier completes an order""
2. ""Observe customer's device""
3. ""Verify notification content""
","1. ""Order is marked as completed""
2. ""Notification appears on customer's device""
3. ""Customer receives notification about order completion""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
58,"Global notification",,"Multiple users logged in",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Admin sends global chat message""
2. ""Observe other users' devices""
3. ""Verify notification recipients""
","1. ""Message is sent to global chat""
2. ""Notifications appear on other users' devices""
3. ""All users except sender receive notification""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
59,"Notification Navigation - New order",,"Courier receives new order notification",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Receive new order notification""
2. ""Tap on new order notification""
3. ""Observe navigation""
","1. ""Notification is displayed""
2. ""Notification is tapped""
3. ""App opens and navigates to courier dashboard""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
60,"Notification Navigation - Completed Orders",,"Customer receives order completion notification",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Receive order completion notification""
2. ""Tap on order completion notification""
3. ""Observe navigation""
","1. ""Notification is displayed""
2. ""Notification is tapped""
3. ""App opens and navigates to completed orders screen""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
61,"Notification Navigation - General",,"User receives general notification",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Receive general notification""
2. ""Tap on general notification""
3. ""Observe navigation""
","1. ""Notification is displayed""
2. ""Notification is tapped""
3. ""App opens and navigates to chat\/notifications screen""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
62,"Notification badge display",,"User has unread notifications",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to main menu""
2. ""Observe notification icon""
3. ""Verify badge count""
","1. ""Main menu is displayed""
2. ""Notification icon is visible""
3. ""Notification badge shows count of unread messages""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
63,"Mark notification as read",,"User has unread notifications",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Navigate to chat\/notifications screen""
2. ""Observe notification badge""
3. ""Verify badge clearing""
","1. ""Chat screen is opened""
2. ""Badge is visible before opening""
3. ""Notification badge is cleared when screen opens""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
64,"Foreground notification handling",,"App is open and in foreground",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Keep app in foreground""
2. ""Trigger a notification""
3. ""Observe notification display""
","1. ""App is visible on screen""
2. ""Notification is triggered""
3. ""Local notification is displayed while app is in foreground""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
65,"Background notification handling",,"App is in background",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Put app in background""
2. ""Trigger a notification""
3. ""Observe system notification""
","1. ""App is moved to background""
2. ""Notification is triggered""
3. ""System notification is displayed in notification shade""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
66,"Notification with app closed",,"App is completely closed",,,undefined,normal,other,undefined,is-not-automated,actual,no,unknown,classic,"1. ""Close app completely""
2. ""Trigger a notification""
3. ""Tap on notification""
","1. ""App is not running""
2. ""Notification is triggered""
3. ""App opens and navigates to correct screen""
","1. """"
2. """"
3. """"
",,,7,,Notifications,,,no
